cas_id	old_sev	status	anchor	audit
CAS-003	High	🟡 partially mitigated (still-present)	`Pool/CasPartWriteTxn.cpp:77`; `ContentAddressedTransaction.h:291`; opt-in sha256 at `ContentAddressedSettings.cpp:74`	ad1-hash-determinism
CAS-037	Med	✅ fixed	`Formats/CasPoolMetaFormat.h:29-31`; `Pool/CasPoolMeta.cpp:56-102, 148`; `Formats/CasLayout.cpp:36`	ad1-hash-determinism
CAS-107	Low	🟡 still-present (BE half only; weakened)	no `static_assert`/BE guard in tree; explicit BE wire ops at `Primitives/CasCodecUtil.h:18-40`, `Primitives/CasBlobDigest.h:177-186`, `Gc/CasGcShardPlan.h:38-41`	ad1-hash-determinism
CAS-018	High (compliance)	🔴 still-present	`ContentAddressedTransaction.cpp:1034`; no SLA setting in `ContentAddressedSettings.cpp`	ad2-deletion-erasure
CAS-019	High (compliance)	🔴 still-present	`Gc/CasBlobInDegree.cpp:364-448`; `Pool/CasRefLedger.cpp:2801,2890`	ad2-deletion-erasure
CAS-043	High (leak/observ)	🔴 still-present	`ContentAddressedTransaction.cpp:1032-1074`; `Gc/CasGc.cpp:1833,2075,2170`	ad2-deletion-erasure
CAS-070	Med	🔴 still-present (detached folded in; shadow still separate; snap retention unchanged)	`ContentAddressedTransaction.cpp:1044-1074`; `Pool/CasPool.h:79-84`	ad2-deletion-erasure
CAS-071	Med	🔴 still-present (GCS-versioning-enabled now fail-closed; S3 variants + object-lock + CRR + soft-delete uncovered)	`Backend/CasObjectStorageBackend.cpp:55-84`; `Gc/CasGc.cpp:519`	ad2-deletion-erasure
CAS-013	High	🛠 will-fix (largely fixed; missing `DETAIL`/`DEADLINE`/`NAMESPACE` in SQL)	`Parsers/ASTSystemQuery.h:153`, `InterpreterSystemQuery.cpp:2524-2551`	ad3-day2-dr-runbook
CAS-014	High	🛠 will-fix (liveness triple exposed; no `bytes_pending_reclaim`, no continuous physical-bytes)	`StorageSystemContentAddressedMounts.cpp:52-55`, `Gc/CasGcScheduler.h:118-125`	ad3-day2-dr-runbook
CAS-040	Med (OBSERV)	🔴 still-present	`Storages/System/StorageSystemParts.cpp:74`	ad3-day2-dr-runbook
CAS-084	Low (LEAK)	🔴 still-present	absence: no MPU calls under CAS `Tools/`,`Gc/`,`Pool/` (only `Backend/CasObjectStorageBackend.cpp:813-828`)	ad3-day2-dr-runbook
CAS-093	Med (INT)	🔴 still-present	`Tools/CasFsck.cpp` (no repair path); `InterpreterSystemQuery.cpp:2524-2551` (no `REPAIR` verb)	ad3-day2-dr-runbook
CAS-101	Low (OBSERV)	🔴 still-present	`Storages/System/StorageSystemParts.cpp:74`; `StorageSystemReplicatedFetches.cpp` unchanged	ad3-day2-dr-runbook
CAS-102	Low (OBSERV)	🔴 still-present	`Storages/System/StorageSystemReplicatedFetches.cpp:27-60` (no relink flag)	ad3-day2-dr-runbook
CAS-214		Info	`Common/ProfileEvents.cpp` (`grep -c '^\s*M(Cas' → 142`); `Backend/CasInstrumentedBackend.cpp:113-130`	ad3-day2-dr-runbook
CAS-008	High	🔴 still-present (reshaped, Med) — ref-log / snapshot 64 MiB caps replace the root-shard journal 64 MiB cap; write availability still coupled to admission-budget compaction / eviction.	`Formats/CasRefLogFormat.h:68-79`, `Pool/CasRefLedger.cpp:572-577`, `Pool/CasPartWriteTxn.cpp:824-872`	ad5-resource-exhaustion
CAS-049	Med	✅ fixed — decode cache is byte-budgeted LRU (not wholesale-clear).	`Pool/CasManifestReader.cpp:37-40`, `Pool/CasPool.h:78`	ad5-resource-exhaustion
CAS-084	Med (LEAK/DAY2)	🔴 still-present — CAS backend still does not abort / list / report incomplete multipart uploads.	`Backend/CasObjectStorageBackend.cpp` (no `abortMultipart*` symbol anywhere in CAS tree)	ad5-resource-exhaustion
CAS-092	Med	✅ fixed — `shard_write_seq` symbol removed; per-namespace state is LRU-bounded.	`Pool/CasRefLedger.cpp:762-810`, `Pool/CasPool.h:204`	ad5-resource-exhaustion
CAS-100	Low / Low	🔴 RES-7 still-present (no per-tenant quota in shared pool); RES-6 removed in original shape but replaced by hard fail-closed only writes (see NEW-ad5-1).	`Pool/CasRefLedger.cpp:1208`, `Pool/CasBlobUploadPool.h:54`, `Pool/CasPartWriteTxn.cpp:824-872`	ad5-resource-exhaustion
